date,crime,zone,summary,pio
"June 28, 2021",Carjacking,Zone 1,"UPDATE: 06/30/21 12:15 p.m. Police have recovered the stolen vehicle. It has been towed to the Auto Squad for processing. There are no arrests at this time. The investigation is ongoing. _______________________ Pittsburgh Police from Zone 1 responded to a 9-1-1 call for a reported carjacking in the 2500 block of N. Charles Street just before 11:15 p.m. Responding officers spoke with a pizza delivery driver who stated two males, possibly juveniles, took his keys, vehicle, and an undisclosed amount of cash. The victim stated they were both wearing black hoodies and one of the actors had a black handgun. The vehicle is a 2013 Gray Nissan Ultima with PA Plate LPC0085. If spotted, call 9-1-1 and do not approach. The investigation is ongoing.",Cara Cruz
"May 24, 2020",Shooting,Zone 6,"Pittsburgh Police from Zone 6 responded to reports of a person shot on the 900 block of Norwich Avenue just before 12:15 p.m. Once on scene, responding officers found a male victim with gunshot wounds. He was transported to the hospital in stable condition. The investigation is ongoing.",Cara Cruz
"April 10, 2021",Fire,Zone 2,"Pittsburgh Bureau of Fire responded to the 900 block of Memory Lane for a 2-alarm structure fire around 3 p.m. Responding firefighters fought the fire mainly in one row house that received extensive damage, but all of the residents of all four attached houses were able to safely evacuate. One female resident jumped from a window and suffered an injury to a lower extremity. Medics transported her to the hospital in stable condition. No firefighters were injured. The Fire Investigations Unit is investigating the exact cause and origin of the fire.",Cara Cruz
"August 15, 2019",Shooting,Zone 2,"Pittsburgh Bureau of Police officers from Zone Two responded to a ShotSpotter alert, followed by 911 calls, of shots fired in the 100 block of Oak Hill Drive just after 2 a.m. in Terrace Hill Village and the border of West Oakland. When they arrived on scene they found two male victims. One male received a gunshot wound to the abdomen and was transported by EMS to a local hospital in stable condition. The second male was grazed by a bullet and did not receive medical treatment. He was alert and talking. Police retrieved two guns as evidence at the scene. There are no suspects at this time. The investigation continues.",Cara Cruz
"January 30, 2021",DOA,Zone 3,Pittsburgh Police from Zone 3 responded to a call for a person struck by a train in the area of S. 4th Street at Color Park just before 10:45 a.m. Responding officers found an adult male victim pronounced deceased at the scene. CSX Rail officials shut down one track. Detectives from VCU and the Crime Scene Unit were on scene to investigate. The Allegheny County Medical Examiner’s office will release the identity of the deceased once all notifications have been made.,Cara Cruz
"October 23, 2020",Collision,Zone 5,"Pittsburgh EMS, Fire, and Police responded to a 9-1-1 call for a dirt bike versus vehicle collision at the intersection of Liberty Avenue and Cedarville Street around 6:20 p.m. When first responders arrived, they discovered the male rider had struck two vehicles. Medics transported the operator to UPMC Presbyterian in critical condition. There were no other injuries. The drivers remained on the scene. The dirt bike and one vehicle had to be towed from the scene. Liberty Avenue was reopened just under an hour later.",Maurice Matthew
"December 13, 2021",Robbery,Zone 1,"Pittsburgh Police responded to a reported home invasion on the 100 block of Richey Avenue around 6 a.m. When Zone 1 officers arrived, they met with the victim who stated a group of males broke into his home, assaulted him and stole items including his car keys. The suspects fled in the victim’s red Dodge Challenger towards an unknown direction. Medics evaluated the victim on scene for minor injuries. The investigation is ongoing.",Maurice Matthew
"July 7, 2021",Homicide Arrest,Zone 2,"The U.S. Marshals Service arrested Howard Hawkins on a homicide warrant for the shooting death of Ahmir Tuli in the 2700 block of Penn Avenue in the Strip District on February 21, 2021. Hawkins was apprehended in North Hollywood, CA on July 7. Last month, Pittsburgh Police Violent Crime Unit detectives arrested Chayla Robinson in connection with Tuli’s homicide. Robinson was charged with Hinder Apprehension or Prosecution. ​​​​​​​",Cara Cruz
"June 17, 2020",Vandalism/Looting/Riot,Zone 2,"In its ongoing work, the Damage Assessment and Accountability Task Force (DAAT), comprised of local, state and federal law enforcement agencies, continues to analyze video, photos, and information related to the recent protests in the city. The task force is in the process of identifying individuals who committed criminal acts during those demonstrations. Investigators seek the public’s assistance in identifying the male in this series of photographs. He is suspected of vandalizing two police vehicles, throwing objects at police officers and looting businesses during the May 30 protest downtown. The suspect has a tattoo on his left elbow that resembles a bomb design. Anyone with information is asked to contact the taskforce at DAAT@Pittsburghpa.gov, or call (412) 323-7800 and ask for the task force. Contributors will remain anonymous.",Cara Cruz
"November 6, 2019",Shooting,Zone 5,Pittsburgh Bureau of Police officers responded a ShotSpotter alert of multiple shots fired on 1000 block of Brushton Avenue around 8 p.m. Zone 5 officers found a 19-year-old male with a gunshot wound to his foot. The victim said he heard gunshots and then realized he had been struck. Medics transported the victim to a local hospital in stable condition. No arrests at this time. Police are investigating.,Chris Togneri
"June 30, 2020",Assault,Zone 1,"Pittsburgh Police officers from Zone 1 were dispatched to the 100 block of Rhine Place for reports of an assault in progress around 3:10 a.m. Upon arrival, officers discovered a male victim lying on the sidewalk who appeared to have been struck in the face and head multiple times with some type of object. He was bleeding from the head and had received several contusions to the face. He was treated at the scene by EMS and transported to the hospital in stable condition. There are no arrests at this time. The investigation is ongoing.",Cara Cruz
"August 12, 2019",Shooting,Zone 2,"Pittsburgh Bureau of Police officers from Zone Two responded to a ShotSpotter alert, followed by 911 calls, of shots fired in the 600 block of Elmore Street just after 11:15 p.m. When they arrived on scene they found a male victim who had been grazed in the knee by a bullet. The male told police he was walking down the street when he was struck, so he ran to a residence on nearby Trent Street, where police found him. He was transported to a local hospital in stable condition. There are no suspects at this time. The investigation continues.",Cara Cruz
