headline,link,date,author,description,tags
VIDEO: Reporters offer tips for covering emerging communities,https://www.ire.org/video-reporters-offer-tips-for-covering-emerging-communities/,"July 4, 2014",hdcoadmin,"By Chhaya Nene Minorities will account for more than a third of U.S. households by 2025, according to a recent study. Molly Hennessy-Fiske, of the Los Angeles Times; Momo Chang, […]","diversity, IRE Conference"
"Reporting on inequality requires an eye for historical context, institutional injustice",https://www.ire.org/reporting-on-inequality-requires-an-eye-for-historical-context-institutional-injustice/,"July 4, 2014",hdcoadmin,By Laura Rena Murray Sally Lehrman of the Markkula Center for Applied Ethics and Venise Wagner of San Francisco State University discussed reporting tools and strategies to better cover institutional […],"inequality, IRE Conference"
VIDEO: How to go undercover on a budget,https://www.ire.org/video-how-to-go-undercover-on-a-budget/,"July 3, 2014",hdcoadmin,"By Chhaya Nene These days the phrase “on a budget” applies to everyone, especially journalists.  At the 2014 IRE Conference, veteran journalists Anna Hewson of KUSA/9News Denver, Joe Ellis of […]","Broadcast, IRE Conference, undercover, video"
Watchdog on campus: Tips for investigating college sports,https://www.ire.org/watchdog-on-campus-tips-for-investigating-college-sports/,"July 3, 2014",hdcoadmin,"By Trisity Miller Where there’s a college, there’s a story. That was the theme of “Campus coverage: College sports,” a panel featuring Paula Lavigne, Jodi Upton, Jill Riepenhoff, and Brad […]","college, IRE Conference, sports"
How to measure mental health care in your community,https://www.ire.org/how-to-measure-mental-health-care-in-your-community/,"July 2, 2014",hdcoadmin,"By Emily Burns Friday’s panel on mental health care reporting began with a video clip of the 60 Minutes episode, “Nowhere To Go.” The episode focused on mental health care […]","IRE Conference, mental health"
Insider tips for maximizing your investigative power with Google,https://www.ire.org/insider-tips-for-maximizing-your-investigative-power-with-google/,"July 2, 2014",hdcoadmin,By Danielle Kirsh There are many Google tricks and methods that can make research much easier. Daniel Russell studies the way people search using Google. He offered a few tips […],"Google, IRE Conference, search tools"
How to build trust and get reluctant sources to talk,https://www.ire.org/how-to-build-trust-and-get-reluctant-sources-to-talk/,"June 29, 2014",hdcoadmin,"By Laura Rena Murray Ellen Gabler of the Milwaukee Journal Sentinel, Tony Kovaleski of NBC Bay Area, Ellen Weiss of Scripps Washington Bureau and documentary producer Andrés Cediel discussed cautionary […]","interviewing, IRE Conference, sources-1"
Storify: Investigating do-gooders and crowd pleasers,https://www.ire.org/storify-investigating-do-gooders-and-crowd-pleasers/,"June 29, 2014",hdcoadmin,"[View the story ""Friendly Fire"" on Storify]",IRE Conference
"IRE by Design winners, schedule announced",https://www.ire.org/ire-by-design-winners-schedule-announced/,"June 28, 2014",hdcoadmin,All of the following pop-up IRE by Design sessions will take place from 4:50 - 5:50 PM. You can find panel descriptions here. Salon 1-3 | Help shape FOIA reform […],"Conference, IRE"
Seven members elected to IRE Board of Directors,https://www.ire.org/seven-members-elected-to-ire-board-of-directors-2/,"June 28, 2014",hdcoadmin,"IRE members elected seven new directors to the IRE board on Saturday evening at the organization's annual conference in San Francisco. The newly elected members are: Sarah Cohen, The New […]","Board of Directors, elections, IRE Board"
"U.S. Navy, Missouri and Oklahoma governors win Golden Padlock Award",https://www.ire.org/u-s-navy-missouri-and-oklahoma-governors-win-golden-padlock-award/,"June 28, 2014",hdcoadmin,Investigative Reporters and Editors has named the U.S. Navy and the governors of Oklahoma and Missouri as winners of its second-annual Golden Padlock Award recognizing the most secretive U.S. agency […],"wards-1, golden padlock, government secrecy, IRE Conference"
11 tips for successfully managing investigative projects,https://www.ire.org/11-tips-for-successfully-managing-investigative-projects/,"June 28, 2014",hdcoadmin,"By Stephanie Ebbs Investigative reporting is time-consuming and managing such laborious, long-term projects is a common concern for reporters and editors. The “Managing and Juggling Investigative Projects” panel addressed some […]","Conference, IRE"
Journalists discuss reporting on wrongful convictions,https://www.ire.org/journalists-discuss-reporting-on-wrongful-convictions/,"June 27, 2014",hdcoadmin,By Emily Burns David Krajicek was a reporter at the New York Daily News in 1989 when the Central Park jogger case grabbed the attention of all of New York. […],"crime, IRE Conference, justice, police"
"Knight grant supports DocumentCloud improvements, sustainability",https://www.ire.org/knight-grant-supports-documentcloud-improvements-sustainability/,"June 27, 2014",hdcoadmin,"DocumentCloud, a free, open source tool used by hundreds of newsrooms to analyze and publish documents, will improve its offerings and develop a plan toward sustainability with $1.4 million in […]","Document Cloud, grant"
Storify: Conceiving and launching the data-driven story,https://www.ire.org/storify-conceiving-and-launching-the-data-driven-story/,"June 27, 2014",hdcoadmin,"[View the story ""The data-driven story: Conceiving, launching and taking it home"" on Storify]","data, IRE Conference"
"Sign up for Friday, Saturday Broadcast Show & Tell slots",https://www.ire.org/sign-up-for-friday-saturday-broadcast-show-tell-slots/,"June 26, 2014",hdcoadmin,Sign-ups are open for Broadcast Show & Tell. These sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for […],"Broadcast, IRE Conference"
"Propose, vote on ‘IRE by Design’ pop-up sessions",https://www.ire.org/propose-vote-on-ire-by-design-pop-up-sessions/,"June 25, 2014",hdcoadmin,"How to propose, vote on sessions Wednesday - Friday: Propose a panel online Wednesday - Saturday noon: Vote online for sessions you'd like to attend Saturday, noon – IRE staff announces […]","Conference, IRE"
IRE 2014 schedules changes and updates,https://www.ire.org/ire-2014-schedules-changes-and-updates/,"June 25, 2014",hdcoadmin,"Welcome! Please see below changes to the schedule and other notes. For the most up-to-date schedule and description information, be sure to visit the conference website or app.   SCHEDULE […]","Conference, IRE Conference"
IRE Conference kicks off with record attendance,https://www.ire.org/ire-conference-kicks-off-with-record-attendance/,"June 25, 2014",hdcoadmin,"The 2014 IRE Conference is underway in San Francisco. We've got record turnout, with more than 1,500 journalists registered.  Below are a few bits of information to help you prepare […]","Conference, IRE Conference"
Finalists announced for 2014 Golden Padlock award,https://www.ire.org/finalists-announced-for-2014-golden-padlock-award/,"June 23, 2014",hdcoadmin,Investigative Reporters and Editors is proud to announce the finalists for its 2014 Golden Padlock Award celebrating the most secretive government agency or individual in the United States.  “The spirit […],"FOIA, golden padlock, government secrecy"
2014 IRE Conference mobile app available for download,https://www.ire.org/2014-ire-conference-mobile-app-available-for-download/,"June 23, 2014",hdcoadmin,The 2014 IRE Conference app is now available through Guidebook! We encourage you to download our mobile guide to enhance your experience at the 2014 IRE Conference. You'll be able […],"pp, IRE Conference, mobile"
IRE Radio Podcast | True Believers,https://www.ire.org/ire-radio-podcast-true-believers/,"June 20, 2014",Erica Martin,Welcome to the third episode of the IRE Radio Podcast. We’re taking a cue from reporter Corey Johnson and calling this episode “True Believers.” This week we’ll be talking about […],"udio, IRE Journal, Podcast, Sources"
The road to health is paved with good data,https://www.ire.org/the-road-to-health-is-paved-with-good-data/,"June 16, 2014",hdcoadmin,"This was originally published on the ProPublica Nerd Blog. By Ryann Grochowski Jones, ProPublica I think I’m a decent arbiter of people’s appreciation of data. I worked at IRE’s data […]","Conference, data, health"
Public records request service sues CIA over FOIA practices,https://www.ire.org/public-records-request-service-sues-cia-over-foia-practices/,"June 12, 2014",Erica Martin,"MuckRock is suing the CIA over a handful of specific FOIA requests that would shed light on how the agency determines what is and isn’t releasable, among other things. The […]","CIA, FOIA, lawsuit, open records, public records, Transparency, Transparency Watch"
